paper_id,year,arxiv_id,g_formula,g_tc,g_pc,g_fam,g_ev,c_formula,c_tc,c_pc,c_fam,c_ev,fsim,fmatch,tcmatch,pcmatch,famatch,evmatch
arxiv:1706.02196,2017,1706.02196,Lix(NH3)yFe2Te1.2Se0.8,21.0,ambient,iron_based,primary,Lix(NH3)yFe2Te1.2Se0.8,21.0,unknown,iron_based,primary,1.0,True,True,False,True,True
arxiv:1706.02196,2017,1706.02196,FeTe0.6Se0.4,14.0,ambient,iron_based,primary,FeTe0.6Se0.4,14.0,unknown,iron_based,primary,1.0,True,True,False,True,True
arxiv:2503.23861,2025,2503.23861,La2.85Pr0.15Ni2O7,,ambient,nickelate,cited,La2.85Pr0.15Ni2O7,40.0,ambient,nickelate,cited,1.0,True,False,True,True,True
arxiv:2503.23861,2025,2503.23861,La3Ni2O7,80.0,unknown,nickelate,cited,La3Ni2O7,80.0,unknown,nickelate,cited,1.0,True,True,True,True,True
arxiv:2503.23861,2025,2503.23861,La3Ni2O7,80.0,unknown,nickelate,cited,La3Ni2O7,40.0,ambient,nickelate,cited,1.0,True,False,False,True,True
arxiv:2503.23861,2025,2503.23861,La2PrNi2O7,82.5,unknown,nickelate,cited,La2PrNi2O7,82.5,unknown,nickelate,cited,1.0,True,True,True,True,True
arxiv:2503.23861,2025,2503.23861,La2PrNi2O7,82.5,unknown,nickelate,cited,La2SmNi2O7,91.0,unknown,nickelate,cited,0.8,True,True,True,True,True
arxiv:2503.23861,2025,2503.23861,La3Ni2O7,80.0,unknown,nickelate,cited,La4Ni3O10,,unknown,nickelate,cited,0.5882352941176471,False,False,True,True,True
arxiv:0812.2323,2008,0812.2323,LaFeAsO0.94F0.06,18.0,unknown,iron_based,primary,LaFeAsO0.94F0.06,18.0,unknown,iron_based,primary,1.0,True,True,True,True,True
arxiv:0812.2323,2008,0812.2323,LaFeAsO0.94F0.06,18.0,unknown,iron_based,primary,LaFeAsO0.94F0.06,18.0,unknown,iron_based,primary,1.0,True,True,True,True,True
arxiv:0812.2323,2008,0812.2323,LaFeAsO0.94F0.06,18.0,unknown,iron_based,primary,CaFe0.925Co0.075AsF,,unknown,iron_based,primary,0.5142857142857142,False,False,True,True,True
arxiv:0812.2323,2008,0812.2323,CaFe(1-x)Co(x)AsF,,unknown,iron_based,primary,CaFe0.9Co0.1AsF,,unknown,iron_based,primary,0.5625,False,False,True,True,True
arxiv:0812.2323,2008,0812.2323,CaFe(1-x)Co(x)AsF,,unknown,iron_based,primary,CaFe0.85Co0.15AsF,,unknown,iron_based,primary,0.5294117647058824,False,False,True,True,True
arxiv:0812.2323,2008,0812.2323,Ba0.6K0.4Fe2As2,,unknown,iron_based,primary,Ba0.6K0.4Fe2As2,,unknown,iron_based,primary,1.0,True,False,True,True,True
