family,year,points,unique_materials,unique_papers,experimental_points,theoretical_points,max_tc_k,prev3_avg_points,burst_score,burst_candidate
Other,1996,3,3,3,2,1,86.67,0.6666666666666666,2.4000000000000004,False
Other,1997,13,9,7,8,5,78.0,1.6666666666666667,5.249999999999999,False
Other,1998,6,5,5,4,2,30.0,6.0,1.0,False
Other,1999,30,20,14,15,15,117.0,7.333333333333333,3.7200000000000006,True
Other,2000,12,11,10,7,5,100.0,16.333333333333332,0.75,False
Other,2001,77,42,38,54,23,115.0,16.0,4.588235294117647,True
Other,2002,71,60,44,41,30,106.0,39.666666666666664,1.7704918032786887,False
Other,2003,102,74,66,49,53,120.0,53.333333333333336,1.8957055214723926,False
Other,2004,94,60,56,66,28,125.0,83.33333333333333,1.1264822134387353,False
Other,2005,53,37,31,38,15,100.0,89.0,0.6,False
Other,2006,49,30,19,46,3,128.0,83.0,0.5952380952380952,False
Other,2007,33,28,23,28,5,125.0,65.33333333333333,0.5125628140703518,False
Other,2008,56,36,32,39,17,80.0,45.0,1.2391304347826086,False
Other,2009,55,38,25,46,9,109.0,46.0,1.1914893617021276,False
Other,2010,41,21,22,32,9,120.0,48.0,0.8571428571428571,False
Other,2011,56,35,32,28,28,120.0,50.666666666666664,1.103225806451613,False
Other,2012,83,58,45,66,17,173.36,50.666666666666664,1.6258064516129034,False
Other,2013,110,65,60,83,27,147.0,60.0,1.819672131147541,False
Other,2014,98,65,55,76,22,100.0,83.0,1.1785714285714286,False
Other,2015,116,68,56,80,36,198.0,97.0,1.1938775510204083,False
Other,2016,60,48,37,48,12,60.0,108.0,0.5596330275229358,False
Other,2017,110,80,60,72,38,123.0,91.33333333333333,1.2021660649819494,False
Other,2018,128,93,65,95,33,103.0,95.33333333333333,1.3391003460207613,False
Other,2019,128,93,70,87,41,191.0,99.33333333333333,1.2857142857142858,False
Other,2020,119,69,57,77,42,190.0,122.0,0.975609756097561,False
Other,2021,191,126,96,133,58,208.0,125.0,1.5238095238095237,False
Other,2022,235,153,93,134,101,210.0,146.0,1.6054421768707483,False
Other,2023,224,134,81,153,71,165.0,181.66666666666666,1.2317518248175183,False
Other,2024,193,112,75,138,55,120.0,216.66666666666666,0.891271056661562,False
Other,2025,104,66,58,73,31,168.0,217.33333333333334,0.4809160305343511,False
bismuthate,1996,1,1,1,1,0,30.0,0.0,2.0,False
bismuthate,1997,1,1,1,1,0,24.5,0.3333333333333333,1.5,False
bismuthate,1998,3,2,1,1,2,32.0,0.6666666666666666,2.4000000000000004,False
bismuthate,1999,7,4,5,5,2,32.0,1.6666666666666667,2.9999999999999996,False
bismuthate,2000,7,6,5,6,1,31.0,3.6666666666666665,1.7142857142857144,False
bismuthate,2001,6,5,5,6,0,31.0,5.666666666666667,1.05,False
bismuthate,2002,6,6,3,4,2,32.0,6.666666666666667,0.9130434782608695,False
bismuthate,2003,5,3,2,3,2,35.0,6.333333333333333,0.8181818181818182,False
bismuthate,2004,3,2,3,1,2,32.0,5.666666666666667,0.6,False
bismuthate,2005,1,1,1,1,0,32.4,4.666666666666667,0.3529411764705882,False
bismuthate,2006,6,2,1,6,0,32.0,3.0,1.75,False
bismuthate,2010,1,1,1,1,0,31.0,0.0,2.0,False
bismuthate,2012,3,1,1,3,0,5.2,0.3333333333333333,3.0,False
bismuthate,2013,27,11,10,20,7,7.6,1.3333333333333333,12.000000000000002,True
