id,formula,formula_latex,family,subfamily,tc_max,tc_max_conditions,tc_ambient,discovery_year,total_papers,status,pairing_symmetry,structure_phase,ambient_sc,is_topological,is_unconventional,is_2d_or_interface,has_competing_order
mat:lasc2h24,LaSc2H24,,hydride,,298,"P=266 GPa, polycrystal, resistivity, arXiv:2510.01273",,2025,2,active_research,,,false,,,,false
mat:caluh12,CaLuH12,,hydride,,294.20001220703125,"P=180 GPa, arXiv:2408.00234",,2024,1,active_research,,,,,,,false
mat:lubeh8,LuBeH8,,hydride,,293,"P=120 GPa, arXiv:2305.08058",,2023,1,active_research,,,,,,,false
mat:yh10,YH10,,hydride,,290,"P=300 GPa, arXiv:1910.05875, confirmed by 2 papers",,2019,2,active_research,,,false,,,,false
mat:lah9.985n0.015,LaH9.985N0.015,,hydride,,288,"P=240 GPa, arXiv:2012.13398",,2020,1,active_research,,,,,,,false
mat:scluh12,ScLuH12,,,,287,"P=190 GPa, arXiv:2604.17712",,2026,1,active_research,,,false,,,,false
mat:luh10,LuH10,,hydride,,286,"P=175 GPa, arXiv:2307.10699",,2020,2,active_research,,,false,,false,,false
mat:li2mgh16,Li2MgH16,,hydride,,277,"P=260 GPa, arXiv:2305.04875",,2023,1,active_research,,,false,,,,false
mat:luh6,LuH6,,hydride,,273,"P=100 GPa, arXiv:2010.12225, confirmed by 2 papers",,2020,2,active_research,,,false,,,,false
mat:lah10,LaH10,,hydride,,271,"P=170 GPa, arXiv:1810.01113, confirmed by 2 papers",,2018,21,active_research,s-wave,,false,,false,,false
mat:lah12,LaH12,,hydride,,267,"P=165 GPa, susceptibility, arXiv:2412.11727",,2024,1,active_research,,,false,,,,false
mat:luh11,LuH11,,hydride,,266,arXiv:2403.01688,,2024,1,active_research,,,,,,,false
mat:ag-au,Ag-Au,,,,259,"ambient, thin_film, resistivity, arXiv:1906.00708",259,2019,1,active_research,,,true,,,,false
mat:ycah12,YCaH12,,hydride,,253,"P=200 GPa, arXiv:2604.17712",,2026,1,active_research,,,false,,,,false
