material,formula_latex,family,tc_kelvin,year,pressure_gpa,paper_id,is_theoretical
Y2Ba4Cu7O15,,cuprate,93.1,1994,0,arxiv:supr-con/9411001,false
Bi2Sr1.5Ca1.5Cu2O8+δ,,cuprate,75,1994,0,arxiv:supr-con/9412002,true
YBa2Cu3O6+x,,cuprate,93.5,1995,0,arxiv:cond-mat/9508027,true
YBa2Cu3O7-δ,,cuprate,93,1995,0,arxiv:supr-con/9506002,true
Y1Ba2Cu3O7-δ,,cuprate,91.5,1995,0,arxiv:supr-con/9504002,false
Y1Ba2Cu3O7-δ,,cuprate,91,1995,0,arxiv:supr-con/9504002,false
YBa2Cu3O7-δ,,cuprate,90,1995,0,arxiv:cond-mat/9502025,false
YBa2Cu3O7-δ,,cuprate,88,1995,0,arxiv:supr-con/9503001,false
YBa2Cu3O6+x,,cuprate,58,1995,0,arxiv:cond-mat/9508027,true
YBa2Cu3O6+x,,cuprate,53,1995,0,arxiv:cond-mat/9508027,true
La2CuO4+δ,,cuprate,29,1995,0,arxiv:cond-mat/9507124,false
YBa2Cu3O6.4,,cuprate,18,1995,0,arxiv:cond-mat/9511071,false
HoNi2B2C,,borocarbide,8,1995,0,arxiv:supr-con/9505002,false
Pb0.9Bi0.1,,Other,6,1995,0,arxiv:cond-mat/9508094,false
YBa2Cu3O6.4,,cuprate,2.9,1995,0,arxiv:cond-mat/9511071,false
Pb0.9Bi0.1,,Other,2.35,1995,0,arxiv:cond-mat/9508094,false
HgBa2CaCu2O6+δ,,cuprate,126,1996,0,arxiv:cond-mat/9612052,true
YBa2Cu3O6.95,,cuprate,93.5,1996,0,arxiv:cond-mat/9611083,false
YBa2Cu3O6.95,,cuprate,93.4,1996,0,arxiv:cond-mat/9610032,false
YBa2Cu3Ox,,cuprate,93.2,1996,0,arxiv:cond-mat/9612058,false
YBa2Cu3O6.9,,cuprate,93,1996,0,arxiv:cond-mat/9611063,true
YBa2Cu3O7-δ,,cuprate,92,1996,0,arxiv:cond-mat/9601051,false
YBa2Cu3O7-δ,,cuprate,91,1996,0,arxiv:supr-con/9606003,false
YbBa2Cu3O(6+x),,cuprate,90,1996,0,arxiv:cond-mat/9612072,true
ErBa2Cu3O(6+x),,cuprate,90,1996,0,arxiv:cond-mat/9612072,true
YBa2Cu3O(6+x),,cuprate,90,1996,0,arxiv:cond-mat/9612072,true
EuBa2Cu3O7,,cuprate,90,1996,0,arxiv:supr-con/9607003,false
Tl2Sr2CuO6+δ,,cuprate,90,1996,0,arxiv:cond-mat/9611083,false
Bi2Sr2Ca1-xDyxCu2O8+δ,,cuprate,89,1996,0,arxiv:cond-mat/9611010,false
YBa2Cu3O7-δ,,cuprate,89,1996,0,arxiv:supr-con/9608008,false
YBa2Cu3Ox,,cuprate,89,1996,0,arxiv:cond-mat/9612058,false
EuBa2Cu3O7,,cuprate,88,1996,0,arxiv:supr-con/9607003,false
YBa2Cu3O7-δ,,cuprate,88,1996,0,arxiv:supr-con/9608008,false
Bi2Sr2CaCu208,,Other,86.67,1996,0,arxiv:supr-con/9602001,true
Bi2Sr2Ca1-xDyxCu2O8+δ,,cuprate,85,1996,0,arxiv:cond-mat/9611010,false
YBa2Cu4O8,,cuprate,82,1996,0,arxiv:cond-mat/9611083,false
EuBa2Cu3O7,,cuprate,80.5,1996,0,arxiv:supr-con/9607003,false
Bi2Sr2Ca1-xDyxCu2O8+δ,,cuprate,78,1996,0,arxiv:cond-mat/9611010,false
Bi1.66Pb0.34Sr2CaCu2O8+δ,,cuprate,70,1996,0,arxiv:cond-mat/9611083,false
YBa2Cu3O6.7,,cuprate,67,1996,0,arxiv:cond-mat/9612110,false
Bi2Sr2Ca1-xDyxCu2O8+δ,,cuprate,65,1996,0,arxiv:supr-con/9608005,false
YBa2Cu3O6.6,,cuprate,62.7,1996,0,arxiv:cond-mat/9611123,false
YbBa2Cu3O(6+x),,cuprate,60,1996,0,arxiv:cond-mat/9612072,true
ErBa2Cu3O(6+x),,cuprate,60,1996,0,arxiv:cond-mat/9612072,true
YBa2Cu3O(6+x),,cuprate,60,1996,0,arxiv:cond-mat/9612072,true
GdBa2Cu3O(6+x),,cuprate,60,1996,0,arxiv:cond-mat/9612072,true
YBa2Cu3O6.6,,cuprate,59,1996,0,arxiv:cond-mat/9611083,false
YBa2Cu3Ox,,cuprate,59,1996,0,arxiv:cond-mat/9612058,false
YBa2Cu3O6.5,,cuprate,52,1996,0,arxiv:cond-mat/9612110,false
Bi2Sr2Ca1-xDyxCu2O8+δ,,cuprate,46,1996,0,arxiv:cond-mat/9611010,false
Cs3C60,,fulleride,40,1996,,arxiv:cond-mat/9611150,true
La1.85Ba0.85CuO4,,cuprate,38,1996,0,arxiv:cond-mat/9610050,false
La1.86Sr0.14CuO4,,cuprate,35,1996,0,arxiv:cond-mat/9611179,false
RbCs2C60,,fulleride,33,1996,0,arxiv:cond-mat/9611150,true
Ba0.6K0.4BiO3,,bismuthate,30,1996,0,arxiv:cond-mat/9611047,false
Tl2Sr2CuO6+δ,,cuprate,23,1996,0,arxiv:cond-mat/9611083,false
Bi2Sr2CuOx,,cuprate,10,1996,0,arxiv:cond-mat/9611238,true
Nb,,elemental,9.26,1996,0,arxiv:cond-mat/9611187,true
PbBi,,Other,5.52,1996,0,arxiv:cond-mat/9611136,false
In,,elemental,3.41,1996,0,arxiv:cond-mat/9611187,true
Al,,elemental,1.21,1996,0,arxiv:cond-mat/9607095,false
UNi2Al3,,heavy_fermion,1.2,1996,0,arxiv:cond-mat/9612039,false
AuxSi1-x,,Other,0.86,1996,0,arxiv:cond-mat/9611187,false
YBa2Cu3O7-δ,,cuprate,100,1997,0,arxiv:cond-mat/9703180,true
YBa2Cu3Ox,,cuprate,100,1997,0,arxiv:cond-mat/9701028,true
YBa2Cu3O7-δ,,cuprate,94,1997,0,arxiv:cond-mat/9701074,false
YBa2Cu3O6.9,,cuprate,93.6,1997,0,arxiv:cond-mat/9706025,false
YBa2Cu3O6.9,,cuprate,93.6,1997,0,arxiv:cond-mat/9706025,true
YBa2Cu3O6.95,,cuprate,93.4,1997,0,arxiv:cond-mat/9709085,false
YBa2Cu3O7-δ,,cuprate,93.07,1997,0,arxiv:cond-mat/9711241,false
YBa2Cu3O7-δ,,cuprate,93,1997,0,arxiv:cond-mat/9712145,false
YBa2Cu3O7-δ,,cuprate,92.92,1997,0,arxiv:cond-mat/9711241,false
YBa2Cu3O7-δ,,cuprate,92.8,1997,0,arxiv:cond-mat/9710213,false
YBa2Cu3O7-δ,,cuprate,92.5,1997,0,arxiv:cond-mat/9705061,false
YBa2Cu3O6.92,,cuprate,92.5,1997,0,arxiv:cond-mat/9701208,false
YBa2Cu3O6.95,,cuprate,92.4,1997,0,arxiv:cond-mat/9709085,false
YBa2Cu3O7-δ,,cuprate,92,1997,0,arxiv:cond-mat/9704022,false
TmBa2Cu3O7,,cuprate,91.5,1997,0,arxiv:cond-mat/9705061,false
YBa2Cu3O6+x,,cuprate,91,1997,0,arxiv:cond-mat/9705197,false
YBa2Cu3O7-δ,,cuprate,90,1997,0,arxiv:cond-mat/9704230,false
YBa2Cu3O7-δ,,cuprate,89.5,1997,0,arxiv:cond-mat/9712199,false
YBa2(Cu0.994Zn0.006)3O6.9,,cuprate,89.2,1997,0,arxiv:cond-mat/9706025,false
YBa2(Cu0.994Zn0.006)3O6.9,,cuprate,89.2,1997,0,arxiv:cond-mat/9706025,true
YBa2(Cu0.997Zn0.003)3O7-y,,cuprate,88.9,1997,0,arxiv:cond-mat/9710213,false
DyBa2Cu3O7,,cuprate,88,1997,0,arxiv:cond-mat/9703185,false
Y0.9Pr0.1Ba2Cu3O7,,cuprate,86,1997,0,arxiv:cond-mat/9705061,false
YBa2Cu3O7-δ,,cuprate,85,1997,0,arxiv:cond-mat/9710188,false
YBa2Cu3Ox,,cuprate,85,1997,0,arxiv:cond-mat/9701153,false
Bi2Sr2CaCu2Ox,,cuprate,84,1997,0,arxiv:cond-mat/9712113,false
Bi2Sr2CaCu2O8±δ,,cuprate,83,1997,0,arxiv:cond-mat/9711073,false
YBa2Cu3O6+x,,cuprate,83,1997,0,arxiv:cond-mat/9711073,false
YBa2Cu3O6.8,,cuprate,80.52,1997,0,arxiv:cond-mat/9704101,false
"Pb2Sr2(Y,Ca)Cu3O8+d",,cuprate,80,1997,0,arxiv:cond-mat/9703083,false
YBa2(Cu0.98Zn0.02)3O6.9,,cuprate,80,1997,0,arxiv:cond-mat/9706025,false
YBa2(Cu0.98Zn0.02)3O6.9,,cuprate,80,1997,0,arxiv:cond-mat/9706025,true
Bi2Sr2Ca(NixCu1-x)208,,Other,78,1997,0,arxiv:cond-mat/9709061,false
Bi2Sr2Ca(NixCu1-x)208,,Other,77,1997,0,arxiv:cond-mat/9709061,false
YBa2Cu3O7-δ,,cuprate,77,1997,0,arxiv:cond-mat/9703126,false
YBa2(Cu0.97Zn0.03)3O6.9,,cuprate,74.6,1997,0,arxiv:cond-mat/9706025,false
YBa2(Cu0.97Zn0.03)3O6.9,,cuprate,74.6,1997,0,arxiv:cond-mat/9706025,true
Bi2Sr2Ca(NixCu1-x)208,,Other,74,1997,0,arxiv:cond-mat/9709061,false
YBa2Cu3O6.7,,cuprate,74,1997,0,arxiv:cond-mat/9712326,false
YBa2(Cu0.986Zn0.014)3O7-y,,cuprate,74,1997,0,arxiv:cond-mat/9710213,false
YBa2Cu3O7-δ,,cuprate,67,1997,0,arxiv:cond-mat/9704022,false
Bi2Sr2CaCu2O8±δ,,cuprate,65,1997,0,arxiv:cond-mat/9711073,false
YBa2Cu3O6+x,,cuprate,65,1997,0,arxiv:cond-mat/9711073,false
TmBa2Cu3O6.7,,cuprate,64,1997,0,arxiv:cond-mat/9712035,false
