family,year,points,unique_materials,unique_papers,experimental_points,theoretical_points,max_tc_k,prev3_avg_points,burst_score,burst_candidate
cuprate,1994,2,2,2,1,1,93.1,0,3,false
cuprate,1995,11,5,7,7,4,93.5,0.6666666666666666,7.200000000000001,false
cuprate,1996,37,20,17,27,10,126,4.333333333333333,7.125,true
cuprate,1997,78,40,40,65,13,100,16.666666666666668,4.471698113207547,true
cuprate,1998,111,50,57,86,25,116,42,2.604651162790698,false
cuprate,1999,259,108,106,213,46,127,75.33333333333333,3.4061135371179043,true
cuprate,2000,168,92,98,141,27,125,149.33333333333334,1.1241685144124167,false
cuprate,2001,257,119,131,202,55,154,179.33333333333334,1.4306839186691311,false
cuprate,2002,239,134,118,165,74,134,228,1.0480349344978166,false
cuprate,2003,351,183,123,276,75,133,221.33333333333334,1.5832083958020988,false
cuprate,2004,253,132,111,193,60,134,282.3333333333333,0.8964705882352941,false
cuprate,2005,147,71,58,118,29,126.7,281,0.524822695035461,false
cuprate,2006,140,59,56,118,22,133,250.33333333333334,0.5610079575596817,false
cuprate,2007,208,98,76,187,21,130,180,1.1546961325966851,false
cuprate,2008,159,109,71,131,28,140,165,0.963855421686747,false
cuprate,2009,146,73,55,137,9,123,169,0.8647058823529412,false
cuprate,2010,81,35,39,65,16,135,171,0.47674418604651164,false
cuprate,2011,115,47,44,104,11,150,128.66666666666666,0.8946015424164525,false
cuprate,2012,125,62,48,108,17,140,114,1.0956521739130434,false
cuprate,2013,94,53,47,79,15,160,107,0.8796296296296297,false
cuprate,2014,67,41,33,63,4,110,111.33333333333333,0.6053412462908012,false
cuprate,2015,52,25,25,40,12,200,95.33333333333333,0.5501730103806228,false
cuprate,2016,47,17,22,42,5,94.5,71,0.6666666666666666,false
cuprate,2017,66,21,24,58,8,127,55.333333333333336,1.1893491124260354,false
cuprate,2018,77,40,28,62,15,116,55,1.3928571428571428,false
cuprate,2019,70,32,33,54,16,133,63.333333333333336,1.1036269430051813,false
cuprate,2020,69,27,30,47,22,122,71,0.9722222222222222,false
cuprate,2021,69,40,25,49,20,112,72,0.958904109589041,false
cuprate,2022,43,22,23,33,10,108,69.33333333333333,0.6255924170616114,false
cuprate,2023,69,40,32,58,11,119,60.333333333333336,1.141304347826087,false
cuprate,2024,59,25,25,54,5,130,60.333333333333336,0.9782608695652174,false
cuprate,2025,73,40,25,53,20,138,57,1.2758620689655173,false
cuprate,2026,13,10,6,9,4,111.4,67,0.20588235294117646,false
iron_based,2000,1,1,1,1,0,5.7,0,2,false
iron_based,2001,2,2,2,2,0,5.8,0.3333333333333333,2.25,false
iron_based,2002,3,1,2,1,2,4.5,1,2,false
iron_based,2004,3,2,2,3,0,8.8,1.6666666666666667,1.4999999999999998,false
iron_based,2008,356,206,190,311,45,57.4,0,357,true
iron_based,2009,310,182,156,282,28,54,118.66666666666667,2.598885793871866,false
iron_based,2010,265,149,117,240,25,57,222,1.1928251121076232,false
iron_based,2011,282,157,136,250,32,55,310.3333333333333,0.9089935760171307,false
iron_based,2012,253,139,104,232,21,65,285.6666666666667,0.8860465116279069,false
iron_based,2013,335,174,141,303,32,80,266.6666666666667,1.2552926525529264,false
iron_based,2014,215,138,100,192,23,85,290,0.7422680412371134,false
iron_based,2015,181,99,73,156,25,68,267.6666666666667,0.6774193548387096,false
iron_based,2016,126,71,63,111,15,65,243.66666666666666,0.5190735694822889,false
iron_based,2017,146,91,66,134,12,61,174,0.84,false
iron_based,2018,105,61,57,95,10,65,151,0.6973684210526315,false
iron_based,2019,110,54,59,99,11,56,125.66666666666667,0.8763157894736842,false
iron_based,2020,81,50,41,66,15,83,120.33333333333333,0.6758241758241759,false
iron_based,2021,105,57,39,89,16,46.8,98.66666666666667,1.0635451505016722,false
iron_based,2022,59,31,31,51,8,49,98.66666666666667,0.6020066889632106,false
iron_based,2023,67,39,29,64,3,91,81.66666666666667,0.8225806451612903,false
iron_based,2024,55,33,24,53,2,54,77,0.717948717948718,false
iron_based,2025,59,26,25,43,16,57,60.333333333333336,0.9782608695652174,false
iron_based,2026,25,11,14,22,3,52.3,60.333333333333336,0.42391304347826086,false
nickelate,2008,12,11,7,10,2,4.7,0,13,false
nickelate,2009,3,3,2,2,1,3.8,4,0.8,false
nickelate,2010,3,3,2,1,2,4,5,0.6666666666666666,false
nickelate,2019,1,1,1,0,1,10,0,2,false
nickelate,2020,3,3,3,2,1,10,0.3333333333333333,3,false
nickelate,2021,9,4,5,8,1,31,1.3333333333333333,4.2857142857142865,false
nickelate,2022,4,4,2,3,1,18,4.333333333333333,0.9375,false
nickelate,2023,16,7,5,7,9,67,5.333333333333333,2.6842105263157894,false
nickelate,2024,18,9,8,18,0,82.5,9.666666666666666,1.78125,false
nickelate,2025,28,17,17,19,9,70.3,12.666666666666666,2.1219512195121952,false
nickelate,2026,29,16,11,22,7,68.5,20.666666666666668,1.3846153846153846,false
hydride,2012,6,6,3,6,0,44,0,7,false
hydride,2013,3,3,2,0,3,243,2,1.3333333333333333,false
hydride,2014,4,2,3,2,2,190,3,1.25,false
hydride,2015,19,10,10,4,15,250,4.333333333333333,3.75,false
hydride,2016,3,2,3,2,1,250,8.666666666666666,0.4137931034482759,false
hydride,2017,17,11,9,10,7,247,8.666666666666666,1.8620689655172415,false
